Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
19650,16,-80,-992,-21722,-5887,34556,111,face up
19686,32,-80,-992,-20222,-9087,34156,118,face up
19758,64,-64,-992,-20222,-9087,34156,116,face up
19794,32,-64,-992,-17122,-11287,33856,126,face up
19830,16,-64,-976,-17122,-11287,33856,127,face up
19866,16,-80,-992,-17122,-11287,33856,128,face up
19902,32,-32,-992,-14322,-14187,35556,134,face up
19938,0,-64,-992,-14322,-14187,35556,138,face up
19974,0,-80,-992,-12122,-15587,33956,146,face up
20010,0,-80,-992,-12122,-15587,33956,146,face up
20046,32,-64,-992,-12122,-15587,33956,143,face up
20088,32,-64,-992,-9422,-16687,34156,150,face up
20124,0,-80,-992,-9422,-16687,34156,154,face up
20160,32,-64,-992,-6822,-18287,34356,158,face up
20196,32,-64,-992,-6822,-18287,34356,158,face up
20232,16,-64,-992,-6822,-18287,34356,160,face up
20268,-16,-96,-992,-4022,-18487,33456,170,face up
20304,32,-64,-992,-4022,-18487,33456,166,face up
20340,16,-48,-992,-1422,-18787,33856,174,face up
20376,32,-48,-992,-1422,-18787,33856,172,face up
20412,-16,-64,-992,-1422,-18787,33856,177,face up
20448,-16,-64,-992,2278,-18887,34056,187,face up
20484,32,-64,-992,2278,-18887,34056,183,face up
20520,0,-80,-992,5078,-18187,33556,193,face up
20556,0,-64,-992,5078,-18187,33556,194,face up
20592,48,-80,-992,5078,-18187,33556,189,face up
20628,96,-64,-992,8078,-17387,33356,193,face up
20664,64,-48,-992,8078,-17387,33356,197,face up
20700,16,-32,-992,8078,-17387,33356,202,face up
20736,16,-48,-1008,10978,-15787,32556,211,face up
20772,0,-64,-992,10978,-15787,32556,211,face up
20814,32,-64,-992,12378,-15287,32156,213,face up
20850,16,-64,-992,12378,-15287,32156,214,face up
20886,0,-48,-992,12378,-15287,32156,216,face up
20922,0,-64,-1008,13778,-13087,30956,222,face up
20958,32,-80,-992,13778,-13087,30956,219,face up
20994,32,-64,-992,14378,-12287,31556,222,face up
21030,0,-64,-992,14378,-12287,31556,225,face up
21066,16,-48,-992,14378,-12287,31556,225,face up
21102,0,-48,-992,15078,-11687,31056,228,face up
21138,0,-48,-992,15078,-11687,31056,228,face up
21174,16,-64,-992,15878,-10787,31056,230,face up
21210,16,-64,-992,15878,-10787,31056,230,face up
21246,16,-64,-992,15878,-10787,31056,230,face up
21282,16,-48,-992,15678,-10887,31356,230,face up
21318,16,-64,-992,15678,-10887,31356,229,face up
21354,16,-64,-992,15678,-10887,31356,229,face up
21390,16,-64,-992,15178,-10787,31756,228,face up
21426,16,-64,-992,15178,-10787,31756,228,face up
21462,16,-64,-992,15378,-10987,30856,228,face up
21498,16,-64,-992,15378,-10987,30856,228,face up
21540,16,-64,-992,15378,-10987,30856,228,face up
21576,16,-64,-992,15778,-10487,32156,230,face up
21612,16,-64,-992,15778,-10487,32156,230,face up
21648,0,-64,-992,15078,-10887,31456,229,face up
21684,16,-64,-992,15078,-10887,31456,228,face up
21720,16,-64,-992,15078,-10887,31456,228,face up
21756,16,-64,-992,15578,-10987,31656,229,face up
21792,16,-64,-992,15578,-10987,31656,229,face up
21828,16,-64,-992,15778,-10687,32256,230,face up
21864,16,-64,-1008,15778,-10687,32256,230,face up
