Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
27324,192,816,-624,-21536,-53545,21920,129,
27360,128,800,-672,-21536,-53545,21920,130,
27396,112,800,-640,-22036,-53745,23420,126,
27432,112,800,-656,-22036,-53745,23420,127,
27468,128,800,-656,-22036,-53745,23420,127,
27504,112,800,-640,-21736,-53745,23020,127,
27576,112,784,-688,-21736,-53745,23020,130,
27612,112,800,-656,-21936,-53245,22220,128,
27654,112,800,-656,-21936,-53245,22220,128,
27690,112,800,-640,-22036,-53845,23120,126,
27726,128,800,-640,-22036,-53845,23120,127,
27762,112,784,-624,-22036,-53845,23120,126,
27798,112,784,-656,-21336,-53745,24620,127,
27834,112,816,-608,-21336,-53745,24620,122,
27870,128,800,-656,-21336,-53745,24620,126,
27906,128,800,-608,-21636,-53245,24320,123,
27942,128,800,-640,-21636,-53245,24320,125,
27978,112,784,-736,-21936,-53245,24020,130,
28014,128,800,-640,-21936,-53245,24020,125,
28050,112,816,-560,-21936,-53245,24020,119,
28086,112,816,-672,-21636,-53145,22320,128,
28122,112,784,-656,-21636,-53145,22320,129,
28158,128,800,-640,-21636,-53145,22320,127,
28194,112,800,-624,-21836,-53145,23920,124,
28230,112,784,-672,-21836,-53145,23920,127,
28266,112,784,-656,-21836,-53145,23520,127,
28302,112,800,-624,-21836,-53145,23520,124,
28338,144,784,-688,-21836,-53145,23520,129,
28374,128,800,-640,-22036,-53245,22820,127,
28410,128,800,-608,-22036,-53245,22820,125,
28452,96,784,-672,-22036,-53245,22820,128,
28488,144,784,-672,-21636,-53845,23620,129,
28524,112,800,-640,-21636,-53845,23620,126,
28560,96,800,-624,-21936,-53245,23120,125,
28596,112,784,-672,-21936,-53245,23120,128,
28632,112,784,-640,-21936,-53245,23120,127,
28668,160,816,-592,-21736,-53445,23220,124,
28710,144,800,-640,-21736,-53445,23220,127,
28746,64,800,-640,-21736,-53445,24220,124,
28788,112,800,-640,-21736,-53445,24220,125,
28824,96,784,-656,-21736,-53445,24220,126,
28860,144,800,-640,-21236,-53645,22720,128,
28896,160,816,-624,-21236,-53645,22720,127,
28932,128,800,-656,-21236,-53645,22720,129,
29004,144,800,-656,-21336,-53245,24420,126,
29040,128,800,-560,-21836,-53945,23720,122,
29112,128,784,-656,-21836,-53945,23720,128,
29148,96,800,-624,-21936,-53345,23420,124,
