Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
28440,16,-480,-896,5478,-1587,33356,195,face up
28476,16,-496,-880,5878,913,33956,198,face up
28512,0,-496,-864,5878,913,33956,200,face up
28548,16,-544,-864,5878,913,33956,196,face up
28584,16,-528,-848,5478,3213,33656,197,face up
28620,0,-560,-832,5478,3213,33656,198,face up
28698,0,-592,-816,5378,5313,34656,198,face up
28734,16,-608,-784,5378,5313,34656,195,face up
28770,0,-624,-800,5378,7013,33456,199,face up
28806,16,-624,-800,5378,7013,33456,197,face up
28842,16,-640,-784,5578,8413,33056,198,face up
28878,0,-672,-784,5578,8413,33056,200,face up
28914,16,-672,-752,5578,8413,33056,197,face up
28950,16,-672,-736,5578,10813,32956,198,face up
28986,16,-704,-720,5578,10813,32956,197,face up
29022,16,-704,-704,5478,12313,31356,199,face up
29058,16,-720,-688,5478,12313,31356,198,face up
29094,16,-736,-704,5478,12313,31356,198,
29130,0,-752,-704,5078,13713,31256,200,
29346,16,-752,-592,5178,16613,29956,198,
29424,32,-688,-608,5078,17413,28656,199,
29460,0,-720,-688,5078,17413,28656,210,
29496,0,-656,-720,5178,14413,31956,205,
29532,16,-608,-752,5178,14413,31956,206,
29568,0,-624,-864,5178,14413,31956,216,
29604,16,-528,-928,5878,7613,33456,207,
29640,16,-496,-880,5878,7613,33456,208,
29676,16,-464,-912,6178,1513,35356,200,
29712,0,-416,-976,6178,1513,35356,206,
29748,0,-320,-960,6178,1513,35356,212,
29820,16,-240,-1024,5778,-3987,35856,203,
29856,0,-192,-1008,5778,-3987,35856,208,
29892,-16,-160,-976,6178,-8987,35356,204,
29928,16,-144,-1008,6178,-8987,35356,201,face up
29964,0,-64,-1024,6778,-13687,35356,203,face up
30000,16,-32,-992,6778,-13687,35356,202,face up
30036,0,-32,-992,6778,-13687,35356,204,face up
30072,0,0,-1008,7678,-16987,33456,204,face up
30108,0,48,-1008,7678,-16987,33456,206,face up
30144,16,96,-1008,7678,-19887,32456,203,face up
30186,0,112,-1008,7678,-19887,32456,205,face up
30222,16,176,-1024,7678,-19887,32456,206,face up
30258,32,176,-976,7978,-23187,31856,202,face up
30294,16,208,-960,7978,-23187,31856,205,face up
30330,16,240,-976,9078,-26687,30256,204,face up
30366,16,288,-960,9078,-26687,30256,206,face up
30402,48,304,-944,9078,-26687,30256,205,face up
30438,32,320,-944,10078,-28587,27956,206,face up
30474,32,336,-928,10078,-28587,27956,207,face up
30510,16,368,-928,10278,-31087,26056,207,face up
30546,32,368,-928,10278,-31087,26056,206,face up
30582,-16,448,-960,10278,-31087,26056,211,face up
30618,32,432,-912,10378,-33187,25156,206,face up
30654,16,480,-896,10378,-33187,25156,209,face up
30690,0,480,-896,10378,-33187,25156,210,face up
30726,32,512,-896,10078,-34187,24256,207,face up
30762,48,496,-864,10078,-34187,24256,206,face up
30798,0,512,-880,9678,-34887,23956,208,face up
30834,16,512,-864,9678,-34887,23956,207,face up
30870,-16,528,-896,9678,-34887,23956,209,face up
30912,32,560,-832,9078,-35587,23156,206,face up
30948,0,528,-864,9078,-35587,23156,206,face up
30984,32,544,-848,9878,-36887,21156,205,face up
31020,0,560,-848,9878,-36887,21156,207,face up
31056,16,592,-832,9878,-36887,21156,208,face up
31092,48,576,-816,10078,-37987,20156,204,face up
31128,16,656,-848,10078,-37987,20156,208,face up
31164,16,624,-800,9978,-38887,19256,207,face up
31200,16,624,-768,9978,-38887,19256,208,face up
31236,32,704,-768,9978,-38887,19256,210,face up
31272,32,736,-752,10278,-39887,17156,210,face up
31308,32,640,-704,10278,-39887,17156,208,face up
31344,48,736,-736,10278,-39887,17156,210,face up
31380,32,672,-736,10078,-40987,15856,205,face up
31416,16,656,-736,10078,-40987,15856,206,face up
31452,-32,720,-768,10578,-40787,15456,209,face up
31488,16,672,-736,10578,-40787,15456,207,face up
31524,16,656,-752,10578,-40787,15456,206,
31560,16,416,-784,10078,-40887,15456,198,
31596,32,496,-816,10078,-40887,15456,199,
31638,0,656,-880,9678,-38087,19456,207,
31674,-16,400,-976,9678,-38087,19456,199,
31710,-16,480,-960,9678,-38087,19456,201,
31746,-16,368,-912,8678,-32887,25756,203,
31782,-16,272,-944,8678,-32887,25756,200,
31818,-32,304,-992,7178,-29287,28656,202,
31854,-16,304,-992,7178,-29287,28656,201,
31890,-16,176,-976,7178,-29287,28656,197,
31926,-16,128,-1008,6078,-26287,30256,196,
31962,-32,128,-992,6078,-26287,30256,197,face up
31998,-16,80,-992,6078,-26287,30256,195,face up
32034,-16,48,-1024,6278,-22287,31056,197,face up
32070,-16,16,-1024,6278,-22287,31056,197,face up
32106,0,-48,-1008,6678,-19587,32956,197,face up
32178,16,-96,-1008,6678,-19587,32956,195,face up
32214,16,-144,-992,7078,-15887,34356,197,face up
32250,16,-160,-992,7078,-15887,34356,197,face up
